ID,NAME,CATEGORY,description,PRICE,COLOR
1,"DeLonghi Nespresso EN510.B",CM_CAPS,"Наслаждайтесь вкусом и ароматом свежезаваренного кофе без лишних сложностей! Без перемалывания зерен, отмеривания кофе и беспорядка на кухонном столе. Капсульные кофемашины для дома delonghi – исключительно удобны в пользовании, а быстро сделать чашку вкусного напитка сможет даже ребенок. При выборе устройства для приготовления кофе ключевое значение имеют не только технические параметры, но и конструкция машины. Мы предлагаем современные капсульные кофемашины Delonghi.",19250,#000000
2,"Nespresso Essenza Mini C30",CM_CAPS,"Кофемашина капсульная Nespresso Essenza Mini C30 включает в себя световой индикатор, информирующий о ее готовности приступить к выполнению непосредственных обязанностей. Подставка для чашек содержит специальный механизм, позволяющий подобрать наиболее комфортную высоту.\ В модели Nespresso Essenza Mini C30 предусмотрен вместительный лоток для влаги и контейнер для отходов, который способствует значительному облегчению последующего ухода. Чтобы побаловать себя и приглашенных ароматным напитком, достаточно поместить в соответствующий отсек устройства капсулы Nespresso Original. Если вы не используете прибор на протяжении 9 минут, произойдет его автоматическое отключение. Небольшие размеры и отсек для сетевого шнура обуславливают возможность компактного хранения кофемашины.",5600,#000000
3,"Krups Dolce Gusto Mini Me KP123B10",CM_CAPS,"Кофемашина капсульная Krups Dolce Gusto Mini Me KP123B10 обладает удобной компактной конструкцией и легким управлением, позволяя быстро готовить ароматный кофе в разном объеме. Это автоматический аппарат, использующий капсулы Dolche Gusto для приготовления напитка: капсулы герметично упакованы и позволяют сохранить свежесть натурального кофе надолго. Для того, чтобы насладиться кофе, вам нужно только вставить капсулу, а после этого выбрать нужный объем. Для выбора объема используется специальная панель с уровнями индикации, на нужном уровне вы и устанавливаете отметку.",5500,#FFFFFF
4,"Delonghi Essenza Mini EN85.R",CM_CAPS,"Кофемашина капсульная Delonghi Essenza Mini EN85.R представлена в элегантном красном корпусе, благодаря которому станет центром внимания на домашней или офисной кухне. Устройство действует с мощностью 1150 Вт, чего достаточно для быстрого приготовления вкусного напитка. Прибор совместим с капсулами Nespresso. Машина весит 2.3 кг и обладает размерами 11x32.5x20.5 см.",9990,#FF0000
5,"MoulinVilla Luna CML-6-I",CM_GEYS,"Гейзерная кофеварка MoulinVilla Luna CML-6-I позволяет приготовить сразу несколько чашек (до 300 мл) вашего любимого горячего напитка. Использовать ее можно с плитой любого типа. Корпус кофеварки изготовлен из алюминия черного цвета с зеркальной полировкой. Элегантный стильный дизайн также относится к плюсам представленной модели. Гейзерную кофеварку MoulinVilla Luna CML-6-I отличают надежность и долговечность, а также сверхкомпактные размеры – 18x16.5 см.",1150,#808080
6,"Polaris PRO collection-6C",CM_GEYS,"Гейзерная кофеварка Polaris PRO collection-6C позволит наслаждаться бодрящим кофе с насыщенным вкусом и ароматом. Технология 360 Turbo Induction обеспечивает быстрый нагрев и совместимость с плитами, в которых применяется индукционная технология нагрева. Объема 300 мл достаточно для приготовления нескольких порций напитка.\ Гейзерная кофеварка Polaris PRO collection-6C выполнена в корпусе из алюминия. Прозрачная вставка на крышке позволяет контролировать процесс приготовления напитка. Эргономичная ручка из бакелита с покрытием Soft-touch устойчива к нагреву и предотвращает скольжение в руке.",2900,#000000
7,"Rommelsbacher EKO 364/E",CM_GEYS,"Гейзерная кофеварка Rommelsbacher EKO 364/E привлекает внимание элегантным конусообразным корпусом из нержавеющей стали. Устройство на 250 мл дополнено термоизолированной рукояткой и удобной подставкой, позволяющей прибору свободно крутиться на 360°. Комфортной работе способствует яркий индикатор включения.\ Прибор Rommelsbacher EKO 364/E оснащен системами защиты от перегрева и случайного включения без воды. Кофеварка работает от стандартной сети с мощностью 365 Вт. Устройство весит 780 г и обладает размерами 16x19x12 см, что позволяет хранить устройство на небольшой полочке кухонного шкафа.",8990,#808080
8,"DeLonghi ESAM 3500.S",CM_CAR,"Кофемашина DeLonghi ESAM 3500.S обладает стильным черно-серебристым корпусом из пластика. Она хорошо будет смотреться как на домашней, так и на офисной кухне. Нагреватель-термоблок позволяет готовить любимый напиток из зерен быстро при мощности 1350 Вт. Модель имеет 13 степеней помола и позволяет делать эспрессо в чаше объемом 1.8 л. Емкость контейнера для измельчания зерен вмещает до 180 г продукта. Вся необходимая пользователю информация отображается на дисплее.\ Дополняет конфигурацию модели емкость для молока объемом 700 мл. Контейнер для отходов и лоток для капель позволяют содержать поверхность вокруг кофемашины DeLonghi ESAM 3500.S в полной чистоте. Величину помола зерен и степень крепости кофе можно регулировать. Автоматический капучинатор и декальцинация, а также возможность одновременного приготовления 2 чашек делают прибор невероятно простым в обращении.",34500,#F5DEB3
9,"Oursson AM6250/DC",CM_CAR,"Кофемашина Oursson AM6250/DC дополнена функцией предварительного смачивания, обеспечивающей лучшее раскрытие вкуса и аромата напитка. Это устройство снабдит вас необходимым объемом свежего кофе необходимой степени помола – достаточно лишь выбрать среди 5 предложенных. За отсутствие посторонних отложений на внутренних элементах прибора отвечает функция автоматической декальцинации. А контейнер для отходов и лоток для избыточной влаги способствуют облегчению последующего ухода за домашней помощницей.\ Используя понятную панель управления и встроенный дисплей Oursson AM6250/DC, вам не составит труда определиться с крепостью и объемом приготавливаемого напитка. Автоматический капучинатор взобьет молоко в крепкую пену, чтобы вы насладились вкусом латте или капучино, не выходя из дома. Энергосберегающий режим снизит соответствующие затраты, а вам не придется лишний раз отказывать себе в удовольствии побаловаться чашкой любимого кофе.",25500,#FF0000
10,"Jura A7 Piano",CM_CAR,"Кофемашина Jura A7 Piano White – мощный прибор с белым пластиковым корпусом, который способен приготовить автоматически эспрессо и капучино. Устройство с термоблоком действует при мощности 1450 Вт, вмещает 1.1 л и позволяет использовать зерновой или молотый сорта кофе. Встроенная кофемолка оснащена пятью степенями помола, а лоток для зерен вмещает 125 мл.\ Оборудование Jura A7 Piano White оснащено небольшим дисплеем с функцией таймера, многоразовым и простым в очистке фильтром, а также отдельным контейнером для отходов и съемным лотком для капель. Вы сами выбираете степень помола, крепость и температуру кофе, размер порции горячей воды. Прибор дополнен режимом энергосбережения, функцией предварительного смачивания, а также может одновременно приготавливать две чашечки ароматного напитка.",72200,#FFFFFF
